fictitious,identifier,class,roadNumber,name1,name1_lang,name2,name2_lang,formOfWay,length,primary,trunkRoad,loop,startNode,endNode,structure,nameTOID,numberTOID,function.,length_raw,length_str,length_dif,sinuosity
false,596DFD33-5273-49E8-8E72-03E5B5B8DE68,Unclassified,NA,Cantle Avenue,NA,NA,NA,Single Carriageway,59,false,false,false,C28712BC-F2EB-4A23-A1D7-F5F024C0F9C1,BAEFA577-EE98-44B3-AB8E-98F4506C5593,NA,osgb4000000019439031,NA,Local Road,59.3680021566705,59.3667019464888,0.00130021018166815,1.0000219013376
false,ABBEEE06-C57C-417B-82F3-DADFEDDAC408,Unclassified,NA,Saddlers Place,NA,NA,NA,Single Carriageway,65,false,false,false,BAEFA577-EE98-44B3-AB8E-98F4506C5593,3B19CDA3-3CB4-4898-B00F-C8535C504238,NA,osgb4000000019408293,NA,Local Road,65.4125404821097,65.4124452990568,9.51830529061226e-05,1.00000145512146
false,7337FE52-45EB-4703-AE74-DAF115FB6B1F,Unclassified,NA,Saddlers Place,NA,NA,NA,Single Carriageway,74,false,false,false,BAEFA577-EE98-44B3-AB8E-98F4506C5593,D440AF61-E051-424A-943A-2B0149C9194E,NA,osgb4000000019408293,NA,Local Road,73.8274202305636,53.1785821548164,20.6488380757472,1.38829237710086
false,72A5EE2A-C3BA-4E87-BFAA-3B31168B892A,Unclassified,NA,Cantle Avenue,NA,NA,NA,Single Carriageway,38,false,false,false,BAEFA577-EE98-44B3-AB8E-98F4506C5593,3FB1A93D-7E37-4A1B-B47F-BB69B0C599B6,NA,osgb4000000019439031,NA,Local Road,38.4669643533831,38.4477996769434,0.0191646764397149,1.0004984596414
false,E4169E19-1628-4FBD-B285-F57E6137DAB5,Unclassified,NA,Overstreet,NA,NA,NA,Single Carriageway,283,false,false,false,AD965C63-64C6-415B-A8BF-8D53CC4C4D20,5B5170F1-8153-4BED-AA98-0CB9B254482D,NA,osgb4000000019399195,NA,Minor Road,282.611457585498,282.039804460286,0.571653125212151,1.00202685265048
false,E8A56F79-F100-4956-9BAB-BAC706DA918D,A Road,A509,Portway,NA,NA,NA,Dual Carriageway,61,false,false,false,636B311F-F6C4-4A37-9100-B3EBF3B99824,7588D4BA-2744-4064-B5BD-D6D411E8DCEA,NA,osgb4000000019433751,osgb4000000019553705,A Road,61.2777493806344,61.277748816321,5.64313495488022e-07,1.00000000920911
false,8E2ADE51-1EAD-4C4B-82E2-579A0B3CAF0F,A Road,A509,Portway,NA,NA,NA,Dual Carriageway,72,false,false,false,636B311F-F6C4-4A37-9100-B3EBF3B99824,93BD8FA0-AE61-430D-A667-6FE07223598C,NA,osgb4000000019433751,osgb4000000019553705,A Road,71.8381982429085,70.0255846101607,1.8126136327478,1.02588501963731
false,587A6359-8FAE-4219-9A56-30E9B1923D59,Unclassified,NA,Oakley Gardens,NA,NA,NA,Single Carriageway,40,false,false,false,E22A65F4-C2AE-4C40-9826-9145B0463266,DD126519-5443-4813-BD5F-34B429C8DBD5,NA,osgb4000000019399184,NA,Local Road,39.8168277681258,39.816826844923,9.23202783553734e-07,1.00000002318625
false,1ACF96E1-57D2-4684-B29E-B8DC2D183FE6,Unclassified,NA,Silbury Boulevard,NA,NA,NA,Single Carriageway,68,false,false,false,5DAA10F7-4A4F-43D2-AC9C-6B7CE46610C0,FC530502-D113-4D18-996F-4EC69491B352,NA,osgb4000000019433781,NA,Minor Road,67.8535586910722,67.8173348045734,0.0362238864987603,1.00053413904576
false,34903BBC-C178-4EF4-8D44-DCAEF303DC06,Unclassified,NA,Silbury Boulevard,NA,NA,NA,Roundabout,23,false,false,false,5DAA10F7-4A4F-43D2-AC9C-6B7CE46610C0,3FE2B48F-5A90-48A8-BF2D-60D915BB4590,NA,osgb4000000019433781,NA,Minor Road,22.8763405783696,20.8441262709743,2.03221430739529,1.09749577799407
